sp_id,sp_name,avg_savings,,,,
285764,Hubbard Auto Center of Scottsdale,15780,,,,
433597,ISSIMI Inc,12265.91667,,,,
400763,Land Rover North Dade,12071,,,,
404217,iLusso,12067.78571,,,,
438358,Precision Imports,11914,,,,2773
416003,United Sports Autotmotives LLC,11640,,,,3302.320161
384531,Barnaba Auto Sport,11411.66667,,,,2264
303378,Aston Martin of Beverly Hills,11249,,,,
292489,Ferrari of Tampa Bay,11018.61538,,,,
268569,Lamborghini Houston,10397.96296,,,,
57437,Greg Darnell Ford,10332,,,,
430374,Bentley Naples,10302.16667,,,,
302962,Porsche Lehi and Audi Lehi,10177,,,,
350835,Platinum Leasing of Orlando,10163,,,,
439954,Banned Auto Group LLC,10143.8,,,,
310276,Joe's Car Connection,9948,,,,
291381,D & M Motorsports,9613.428571,,,,
327407,Braman Bentley - Braman Rolls Royce,9292.548387,,,,
435809,Fox Auto Sales,9218,,,,
301124,MotorCars International,9180.625,,,,
375612,1Source Auto Boutique,8953,,,,
302403,Ferrari of San Antonio,8623,,,,
280371,EC CARS,8524,,,,
280207,Excell Auto Group Inc.,7962.526316,,,,
274175,Ferrari Maserati of Central New Jersey,7726.3,,,,
341685,MasterCars Company Inc.,7523,,,,
376449,Velocity Motorcars LLC,7165.238095,,,,
435733,McLaren of Charlotte (Used Cars),7162.663866,,,,
67477,Lake Forest Sportscars,7142.981132,,,,
286924,Metro Nissan of Redlands,7124,,,,
409707,Pagani of Beverly Hills,7032.833333,,,,
283860,Enthusiast Auto Group,7011.666667,,,,
409663,Mr Auto USA,6997,,,,
378391,Motorvation,6785,,,,
284992,Calabasas Luxury Motorcars,6734.3,,,,
431882,Benton Truck Sales,6722,,,,
403509,Joe Myars Motors,6689,,,,
401506,Signature Motors OK,6658.25,,,,
278863,Towbin Motor Cars,6613,,,,
393000,Auto Deal Miami,6593,,,,
336959,Black Horse Motors,6549.066667,,,,
153960,Gerardo's Foreign Car Service,6525.5,,,,
409902,Silicon Auto Group,6443.428571,,,,
349455,San Francisco Sports Cars,6361.37931,,,,
295079,Audi Warrington,6353,,,,
285413,Algar Ferrari of Philadelphia,6351.5,,,,
278717,Chapman BMW Chandler,6245,,,,
306454,Jackson's Auto Sales,6227,,,,
